INSTANCE,SET, MEAN_P1, MEAN_P2, MEAN_C, K, MEAN_D, N, DOM/MINC_CHECKS, DOM/MINC_TIME, DEG/MINC_CHECKS, DEG/MINC_TIME, DOMDEG/MINC_CHECKS, DOMDEG/MINC_TIME, K/MINC_CHECKS, K/MINC_TIME, WDEG/MINC_CHECKS, WDEG/MINC_TIME, DOMWDEG/MINC_CHECKS, DOMWDEG/MINC_TIME, MAXP2/MINC_CHECKS, MAXP2/MINC_TIME, MAXC/MINC_CHECKS, MAXC/MINC_TIME
rand-2-30-15-306-230-43_ext.xml,Rand-2-30-15-306-230,0.52184,0.2848,0.51579,0.96798,15,30,33137771,43243,19481181,27253,10570656,13743,5803638,7690,19165823,26598,8645002,11278,26261802,36738,42843781,60013
rand-2-30-15-306-230-44_ext.xml,Rand-2-30-15-306-230,0.52644,0.28423,0.52784,0.96846,15,30,45947169,60013,15786515,21871,9939217,13041,8030692,10795,26833301,37502,13668333,18064,43385972,60013,42264936,60013
rand-2-30-15-306-230-45_ext.xml,Rand-2-30-15-306-230,0.51954,0.28663,0.5242,0.96791,15,30,3155721,4149,3852900,5397,1371031,1809,781580,1045,3149287,4477,654505,858,4197946,5756,23393322,32947
rand-2-30-15-306-230-46_ext.xml,Rand-2-30-15-306-230,0.52874,0.28218,0.54,0.9698,15,30,28029997,36426,10272661,14383,3895257,5070,3191708,4227,9435898,13213,4535272,6193,7863874,10888,33427787,47127
rand-2-30-15-306-230-47_ext.xml,Rand-2-30-15-306-230,0.52414,0.28437,0.51349,0.9678,15,30,46613140,60013,9202359,12807,6468766,8486,3759063,5007,13517035,18860,5223054,6832,43534542,60013,33865032,47517
rand-2-30-15-306-230-48_ext.xml,Rand-2-30-15-306-230,0.51264,0.29048,0.51624,0.96895,15,30,24271674,31886,42590664,60013,35320427,46878,3265447,4383,42750630,60013,29344723,39015,13283473,18501,18567864,26301
rand-2-30-15-306-230-49_ext.xml,Rand-2-30-15-306-230,0.51264,0.28869,0.50613,0.96647,15,30,25751400,33446,34181802,46893,25797661,33945,11788182,15724,42864728,60013,22855669,30264,38673579,54038,42198774,60013
rand-2-30-15-306-230-4_ext.xml,Rand-2-30-15-306-230,0.51494,0.28595,0.51552,0.96421,15,30,46209869,60013,7395775,10140,10493695,13712,8016489,10686,15008605,20904,10631422,14086,24112340,33181,42708795,60013
rand-2-30-15-306-230-50_ext.xml,Rand-2-30-15-306-230,0.51724,0.28516,0.51124,0.96529,15,30,15330408,19921,13819739,19125,6844719,8938,4387841,5881,9992767,13946,5357220,7051,9329223,13041,42723292,59826
rand-2-30-15-306-230-5_ext.xml,Rand-2-30-15-306-230,0.50575,0.29125,0.49645,0.96854,15,30,28674245,37050,11184576,15381,8478890,11013,744871,998,16861915,23524,8950063,11715,2273650,3151,12541041,17752
rand-2-30-15-306-230-6_ext.xml,Rand-2-30-15-306-230,0.51264,0.28929,0.53479,0.96811,15,30,22131760,28953,33419689,47127,9669719,12714,6313189,8439,17026771,23914,9809270,12932,43312504,60013,42477989,60013
rand-2-30-15-306-230-7_ext.xml,Rand-2-30-15-306-230,0.51494,0.28746,0.49543,0.96653,15,30,31722349,41043,27194110,37003,14873835,19281,9581149,12682,32766565,45396,16094142,20950,31915025,44429,42882602,60013
rand-2-30-15-306-230-8_ext.xml,Rand-2-30-15-306-230,0.50115,0.29266,0.52284,0.96693,15,30,13254782,17362,10612991,14726,8348869,11060,6820073,9204,12986368,18423,9799158,13041,25053276,35365,38901117,55208
rand-2-30-15-306-230-9_ext.xml,Rand-2-30-15-306-230,0.52184,0.28517,0.50518,0.96599,15,30,22696320,29562,7512543,10420,6506761,8626,100554,140,6856514,9687,4424774,5928,3555736,5007,25473354,36379
qcp-10-67-0_ext.xml,QCP-10,0.18182,0.09133,0.47059,0.56138,7.03,100,68177,171,224447678,60013,136623,93,67439,62,231005325,60013,53246162,21481,126341,93,225332265,60013
qcp-10-67-10_ext.xml,QCP-10,0.18182,0.09133,0.47059,0.56138,7.03,100,72069299,40482,248109813,60013,98660674,60013,88547333,60013,224998229,60013,151313761,60013,106733549,60013,236278961,60013
qcp-10-67-11_ext.xml,QCP-10,0.18182,0.09133,0.47059,0.56138,7.03,100,126634,62,231609085,60013,95596048,60013,97972496,60013,229035593,60013,21324906,7831,118558548,60013,227144877,60013
qcp-10-67-12_ext.xml,QCP-10,0.18182,0.09133,0.47059,0.56138,7.03,100,111007819,60013,239856792,60013,111356299,59514,95295865,60013,235777659,60013,149187609,60013,100321098,60013,237255436,60013
qcp-10-67-13_ext.xml,QCP-10,0.18182,0.09133,0.47059,0.56138,7.03,100,63749,31,240889666,60013,113084505,60013,63749,31,239727694,60013,160381598,60013,113529061,60013,234290196,60013
qcp-10-67-14_ext.xml,QCP-10,0.18182,0.09133,0.47059,0.56138,7.03,100,589287,280,247979504,60013,93426004,51729,68196,46,250915731,60013,1494534,530,112664136,60013,238065953,60013
qcp-10-67-1_ext.xml,QCP-10,0.18182,0.09133,0.47059,0.56138,7.03,100,67910,46,244165603,60013,66592,31,67258,62,238410671,60013,412486,156,58451,31,244606854,60013
qcp-10-67-2_ext.xml,QCP-10,0.18182,0.09133,0.47059,0.56138,7.03,100,68677,46,244620903,60013,464392,280,68646,46,230618962,60013,13163217,4602,82147,46,225723509,60013
qcp-10-67-3_ext.xml,QCP-10,0.18182,0.09133,0.47059,0.56138,7.03,100,67973,46,245768725,60013,65839,31,66142,62,224718269,60013,2325723,858,1552519,904,232521709,60013
qcp-10-67-4_ext.xml,QCP-10,0.18182,0.09133,0.47059,0.56138,7.03,100,67760,46,243797819,60013,66022,31,66418,62,231689729,60013,248078,109,597630,374,233264138,60013
qcp-10-67-5_ext.xml,QCP-10,0.18182,0.09133,0.47059,0.56138,7.03,100,69391,46,239038544,60013,68815,31,67789,62,230741137,60013,517341,218,254075,156,220500306,60013
qcp-10-67-6_ext.xml,QCP-10,0.18182,0.09133,0.47059,0.56138,7.03,100,67188,46,252427760,60013,76864,46,68149,46,228825666,60013,50723222,20342,79118,62,226906481,60013
qcp-10-67-7_ext.xml,QCP-10,0.18182,0.09133,0.47059,0.56138,7.03,100,67107,46,249282390,60013,67323,31,15025398,9079,233235217,60013,1297216,499,175998,109,230553170,60013
qcp-10-67-8_ext.xml,QCP-10,0.18182,0.09133,0.47059,0.56138,7.03,100,204075,124,241741584,60013,68042,46,67374,46,241729426,60013,1630728,639,148391,93,234585535,60013
qcp-10-67-9_ext.xml,QCP-10,0.18182,0.09133,0.47059,0.56138,7.03,100,1290825,811,250146997,60013,183226,109,1968726,1388,239293023,60013,33086874,12292,295875,171,242177697,60013
qcp-15-120-0_ext.xml,QCP-15,0.125,0.05331,0.48148,0.5348,8.46667,225,4851568,2698,327251379,60013,110716438,60013,428851,296,313415685,60013,212691215,60013,232759085,60013,317286216,60013
qcp-15-120-10_ext.xml,QCP-15,0.125,0.05331,0.48148,0.5348,8.46667,225,114723237,60013,316140588,60013,116140714,60013,84352690,60013,306126121,60013,228833684,60013,278851115,60013,328069777,60013
